시도명,년도,면적,면적당카페수(ea/㎢),시도별카페수(ea),인구당카페수(ea/명),총카페수(ea),총카페에대한구성비(%),카페당관할인구수(명/ea),전년도대비카페증감율(%)
강원,2016,16826.4,0.13603622878334046,2289,0.0014760066700799455,57855,3.9564428312159707,677.5037134119702,0.0
강원,2017,16827.1,0.1926059748857498,3241,0.0020907761998578194,76477,4.237875439674673,478.29126812712127,41.59021406727829
강원,2018,16827.8,0.21761608766446,3662,0.002373218789775069,87370,4.191370035481286,421.3686510103768,12.989817957420549
강원,2019,16827.9,0.23401612797794138,3938,0.0025546512427489553,96104,4.097644218763007,391.4428643981717,7.536865101037685
경기,2016,10175.3,1.239570332078661,12613,0.0009918391290877093,57855,21.801054360038027,1008.228018710854,0.0
경기,2017,10183.5,1.727893160504738,17596,0.001366796917327662,76477,23.00822469500634,731.6375880882017,39.50685800364703
경기,2018,10186.6,1.9784815345650166,20154,0.001541161138055049,87370,23.067414444317272,648.8614170884192,14.53739486246874
경기,2019,10187.8,2.1815308506252578,22225,0.0016786677246993995,96104,23.12598851244485,595.7105061867268,10.275875756673614
경남,2016,10538.8,0.38192204046001443,4025,0.0011929916703987793,57855,6.957047791893527,838.2288198757764,0.0
경남,2017,10539.6,0.46519792022467643,4903,0.001450418352362617,76477,6.411077840396459,689.4562512747298,21.81366459627329
경남,2018,10539.8,0.5270498491432475,5555,0.0016464196078942784,87370,6.358017626187479,607.3785778577857,13.297980828064452
경남,2019,10540.1,0.5600516124135444,5903,0.001755511362943573,96104,6.142304170481978,569.634592580044,6.264626462646265
경북,2016,19030.7,0.18759162826380532,3570,0.0013220273455986859,57855,6.170598911070781,756.4140056022409,0.0
경북,2017,19031.4,0.2381853147955484,4533,0.0016840620781021405,76477,5.92727225178812,593.8023384072359,26.974789915966387
경북,2018,19032.5,0.26969657165375016,5133,0.0019175659576566469,87370,5.875014306970356,521.4944476914085,13.236267372600926
경북,2019,19032.9,0.29485785140467297,5612,0.002105155756018,96104,5.839507200532756,475.0242337847469,9.331774790570817
광주,2016,501.2,3.1464485235434956,1577,0.0010733630362901524,57855,2.7257799671592773,931.6512365250476,0.0
광주,2017,501.2,4.351556264964087,2181,0.001489988181203331,76477,2.8518378074453756,671.1462631820266,38.300570703868104
광주,2018,501.2,5.223463687150838,2618,0.0017939665710980887,87370,2.9964518713517228,557.4239877769288,20.03668042182485
광주,2019,501.2,5.686352753391859,2850,0.0019567886146485878,96104,2.965537334554233,511.0414035087719,8.861726508785333
대구,2016,883.6,3.504979628791308,3097,0.0012464998790528855,57855,5.35303776683087,802.2463674523732,0.0
대구,2017,883.6,4.078768673607967,3604,0.0014560257204277096,76477,4.712527949579612,686.8010543840177,16.370681304488212
대구,2018,883.6,4.755545495699411,4202,0.0017069026378998193,87370,4.809431154858647,585.8564969062353,16.592674805771367
대구,2019,883.5,5.127334465195246,4530,0.0018580567679410149,96104,4.71364355281778,538.1966887417218,7.80580675868634
대전,2016,539.3,3.8327461524198037,2067,0.0013649240278135464,57855,3.57272491573762,732.6415094339623,0.0
대전,2017,539.3,4.924902651585389,2656,0.0017680417140685128,76477,3.4729395766047304,565.597515060241,28.495403967102078
대전,2018,539.5,5.642261353104726,3044,0.002043040774905768,87370,3.4840334210827515,489.4664914586071,14.60843373493976
대전,2019,539.5,6.094531974050047,3288,0.002229349027371904,96104,3.421293598601515,448.56143552311437,8.015768725361367
부산,2016,769.8,4.275136399064692,3291,0.0009406810691007564,57855,5.688358828104745,1063.0595563658462,0.0
부산,2017,769.9,4.986361865177296,3839,0.001106131900826732,76477,5.019809877479504,904.0513154467308,16.651473716195685
부산,2018,770.0,5.988311688311688,4611,0.0013398410496961606,87370,5.277555224905574,746.3571893298633,20.109403490492316
부산,2019,769.9,6.383945967008702,4915,0.0014397272749375265,96104,5.11425122783651,694.5759918616479,6.592929950119281
서울,2016,605.3,18.37931604163225,11125,0.001120272901499766,57855,19.229107250885836,892.6396404494383,0.0
서울,2017,605.2,23.983807005948446,14515,0.0014724939350292865,76477,18.979562482837977,679.1199448846021,30.471910112359552
서울,2018,605.2,26.901850627891605,16281,0.001667174741437387,87370,18.63454274922742,599.8171488237823,12.166724078539442
서울,2019,605.2,30.968274950429606,18742,0.001926384405064103,96104,19.50178972779489,519.1071924020915,15.115779129046128
세종,2016,464.9,0.3807270380727038,177,0.0007282512096376025,57855,0.30593725693544205,1373.1525423728813,0.0
세종,2017,464.9,0.795870079587008,370,0.0013209568011424491,76477,0.4838055886083398,757.027027027027,109.03954802259888
세종,2018,464.9,0.9421380942138095,438,0.001394344944385374,87370,0.5013162412727481,717.1826484018263,18.37837837837838
세종,2019,464.9,1.0453861045386106,486,0.0014269984584893195,96104,0.5057021559976692,700.7716049382716,10.95890410958904
울산,2016,1061.0,1.1432610744580585,1213,0.0010347145450326878,57855,2.0966208625010805,966.4501236603462,0.0
울산,2017,1060.8,1.3857466063348416,1470,0.0012616596231156641,76477,1.9221465277142147,792.6068027210886,21.187139323990106
울산,2018,1061.2,1.6895966830003768,1793,0.0015515440589188687,87370,2.0521918278585325,644.5192414947016,21.972789115646258
울산,2019,1061.5,1.9566650965614696,2077,0.0018092035062137472,96104,2.1612003662698744,552.7294174289841,15.839375348577803
인천,2016,1049.0,2.9275500476644423,3071,0.0010434685697141316,57855,5.308097830783856,958.3422338000653,0.0
인천,2017,1062.6,3.914925654056089,4160,0.0014108667945038598,76477,5.439543915164037,708.7841346153847,35.460761966786066
인천,2018,1063.1,4.1689398927664385,4432,0.0015000125226677207,87370,5.072679409408264,666.6611010830326,6.538461538461539
인천,2019,1063.3,4.6581397535972915,4953,0.0016749937268052428,96104,5.153791725630566,597.0171613163739,11.755415162454874
전남,2016,12312.9,0.15479700151873238,1906,0.0010010956377231324,57855,3.294443004061879,998.9055613850996,0.0
전남,2017,12318.8,0.22835016397701077,2813,0.0014833180765482824,76477,3.678230056095297,674.1642374688944,47.58656873032529
전남,2018,12335.1,0.2682588710265827,3309,0.0017573301752019414,87370,3.7873411926290492,569.0450287095798,17.63242090295059
전남,2019,12343.6,0.29067694999837973,3588,0.0019200051371374906,96104,3.733455423291434,520.8319397993309,8.43155031731641
전북,2016,8066.8,0.30049090097684333,2424,0.0012998775734117118,57855,4.189784806844698,769.303217821782,0.0
전북,2017,8069.1,0.3957070800956736,3193,0.0017216585508412294,76477,4.175111471422781,580.8352646414031,31.724422442244226
전북,2018,8069.0,0.4604040153674557,3715,0.0020225039633455857,87370,4.252031589790546,494.4366083445491,16.348261822737236
전북,2019,8069.1,0.48580386908081447,3920,0.0021551285737612,96104,4.078914509281612,464.0094387755102,5.518169582772544
제주,2016,1849.1,0.681953382726732,1261,0.001965408192369977,57855,2.179586898280183,508.80015860428233,0.0
제주,2017,1849.1,0.9144989454329133,1691,0.002573495281418025,76477,2.211122298207304,388.5765819041987,34.09992069785884
제주,2018,1850.2,1.1290671278780673,2089,0.0031310374390541838,87370,2.3909808858876045,319.3829583532791,23.536369012418685
제주,2019,1850.2,1.2020322127337584,2224,0.0033145103720031177,96104,2.3141596603679346,301.7036870503597,6.46242221158449
충남,2016,8214.0,0.3002191380569759,2466,0.0011761187794119118,57855,4.262380088151413,850.2542579075425,0.0
충남,2017,8226.1,0.4153851764505659,3417,0.0016142519026630196,76477,4.4680099899316135,619.4820017559263,38.564476885644766
충남,2018,8226.4,0.45706505883497034,3760,0.0017683449326100675,87370,4.303536683071993,565.5005319148936,10.038045068773778
충남,2019,8229.2,0.49057016477907933,4037,0.0019009195704307886,96104,4.20065762091068,526.0611840475601,7.367021276595745
충북,2016,7407.2,0.2272113619181337,1683,0.0010574098798397864,57855,2.9089966295047964,945.7070707070708,0.0
충북,2017,7407.3,0.30982949252764164,2295,0.001439384056516678,76477,3.0009022320436207,694.7416122004358,36.36363636363637
충북,2018,7407.7,0.34747627468714987,2574,0.001609502442391818,87370,2.9460913356987524,621.3100233100233,12.156862745098039
충북,2019,7407.8,0.38013985258781285,2816,0.001759992300033687,96104,2.9301589944227087,568.1843039772727,9.401709401709402
